coords; name
55.483205, 37.897526;Домодедово Аэропорт
55.582979, 37.480867;Остафьево Аэропорт
55.605808, 37.287243;Внуково Аэропорт
55.981359, 37.413861;Шереметьево Аэропорт
56.736318, 37.162089;Дубна
56.035831, 35.955186;Волоколамск
56.035831, 35.955186;Коломна
55.142362, 37.454265;Чехов
55.142362, 37.454265;Обнинск
55.506957, 36.016986;Можайск
55.506957, 36.016986;Сергиев Посад
